N,Time
10000,331
11000,287
12000,147
13000,175
14000,144
15000,198
16000,209
17000,197
18000,171
19000,210
20000,220
21000,229
22000,246
23000,241
24000,255
25000,262
26000,276
27000,275
28000,350
29000,318
30000,301
31000,308
32000,368
33000,330
34000,356
35000,405
36000,457
37000,364
38000,412
39000,390
40000,436
41000,466
42000,446
43000,462
44000,428
45000,477
46000,498
47000,526
48000,601
49000,504
50000,510
51000,552
52000,545
53000,532
54000,613
55000,572
56000,637
57000,557
58000,585
59000,578
60000,611
61000,632
62000,637
63000,719
64000,639
65000,686
66000,651
67000,677
68000,681
69000,697
70000,737
71000,708
72000,722
73000,793
74000,737
75000,753
76000,850
77000,821
78000,791
79000,779
80000,876
81000,800
82000,816
83000,886
84000,834
85000,860
86000,878
87000,861
88000,940
89000,981
90000,892
91000,908
92000,933
93000,934
94000,1053
95000,1046
96000,1022
97000,1025
98000,997
99000,1050
100000,1084
